Serial No,time_stamp,AccXYZ_Measurement_Index,AccX_Measurement_Index,AccY_Measurement_Index,AccZ_Measurement_Index,AE_Measurement_Index,AccXYZ_range,AccX_range,AccY_range,AccZ_range,AE_range,AccXYZ_Absolute Peak,AccX_Absolute Peak,AccY_Absolute Peak,AccZ_Absolute Peak,AE_Absolute Peak,AccXYZ_Mean,AccX_Mean,AccY_Mean,AccZ_Mean,AE_Mean,AccXYZ_RMS,AccX_RMS,AccY_RMS,AccZ_RMS,AE_RMS,AccXYZ_Zero Crossing Rate,AccX_Zero Crossing Rate,AccY_Zero Crossing Rate,AccZ_Zero Crossing Rate,AE_Zero Crossing Rate,AccXYZ_Crest Factor,AccX_Crest Factor,AccY_Crest Factor,AccZ_Crest Factor,AE_Crest Factor,AccXYZ_K(t),AccX_K(t),AccY_K(t),AccZ_K(t),AE_K(t),AccXYZ_SNR,AccX_SNR,AccY_SNR,AccZ_SNR,AE_SNR,AccXYZ_Skewness,AccX_Skewness,AccY_Skewness,AccZ_Skewness,AE_Skewness,AccXYZ_Kurtosis,AccX_Kurtosis,AccY_Kurtosis,AccZ_Kurtosis,AE_Kurtosis
1,Tue Apr 26 11:59:31 2022,4389,4389,4389,4389,4398,2.185349464416504,1.9219970703125,2.31512451171875,2.76861572265625,2.999999761581421,2.185349464416504,1.9219970703125,1.32928466796875,1.440673828125,1.5,1.1793417930603027,-1.0351654291152954,0.016093673184514046,0.005879363976418972,-0.0029232772067189217,1.2050577402114868,1.0627081394195557,0.3640344440937042,0.4362277686595917,0.8487072587013245,1.0,0,737.0,933.0,1102.0,1.813481092453003,1.8085840940475464,3.6515355110168457,3.30257248878479,1.7673938274383545,0,0,0,0,0,0.978659987449646,-0.9740825295448303,0.044209204614162445,0.013477738946676254,-0.0034443880431354046,1.0622589588165283,-1.073280930519104,0.17952318489551544,0.05924449488520622,0.06043552979826927,1.169289469718933,1.1975191831588745,2.867820978164673,3.108670234680176,2.1021323204040527
2,Tue Apr 26 11:59:33 2022,4391,4391,4391,4391,4400,3.1291768550872803,2.31396484375,3.7271728515625,3.99993896484375,2.999999761581421,3.1291768550872803,2.0,1.97833251953125,2.0,1.5,1.6849761009216309,-1.0333244800567627,0.01557235699146986,-0.010906181298196316,0.027466576546430588,1.7734860181808472,1.1329002380371094,0.59180748462677,1.2294508218765259,1.2719230651855469,1.0,32.0,1003.0,1048.0,1120.0,1.7644214630126953,1.7653805017471313,3.342864990234375,1.6267426013946533,1.1793166399002075,0,0,0,0,0,0.9500926733016968,-0.9121054410934448,0.026313213631510735,-0.008870774880051613,0.02159452624619007,1.1422704458236694,-1.2175705432891846,0.061234403401613235,-0.03862050548195839,0.035712502896785736,1.391822099685669,1.5993359088897705,2.927412509918213,1.9285354614257812,1.278721809387207
3,Tue Apr 26 11:59:36 2022,4394,4394,4394,4394,4403,3.0486409664154053,2.322265625,3.9678955078125,3.99993896484375,2.999999761581421,3.0486409664154053,2.0,2.0,2.0,1.5,1.7112220525741577,-1.0319268703460693,0.012793540954589844,-0.005249442998319864,0.017732271924614906,1.7945830821990967,1.134875774383545,0.6353673934936523,1.2364833354949951,1.248753547668457,1.0,30.0,1020.0,1045.0,1185.0,1.6988017559051514,1.7623074054718018,3.147785186767578,1.6174904108047485,1.2011977434158325,0,0,0,0,0,0.9535485506057739,-0.9092862010002136,0.020135657861828804,-0.004245461896061897,0.014199976809322834,1.128600001335144,-1.2240474224090576,0.03849845752120018,0.004035592544823885,0.02687520906329155,1.3486802577972412,1.6138157844543457,2.8015084266662598,1.8999884128570557,1.3143068552017212
4,Tue Apr 26 11:59:38 2022,4396,4396,4396,4396,4405,3.1846303939819336,2.45941162109375,3.49578857421875,3.99993896484375,2.999999761581421,3.1846303939819336,2.0,1.77203369140625,2.0,1.5,1.7017742395401,-1.0313401222229004,0.015879211947321892,-0.006838264409452677,0.027020907029509544,1.7791080474853516,1.1262577772140503,0.5969343781471252,1.2411434650421143,1.2690608501434326,1.0,28.0,986.0,1037.0,1149.0,1.7900152206420898,1.7757923603057861,2.9685568809509277,1.611417293548584,1.1819764375686646,0,0,0,0,0,0.9565322399139404,-0.9157229661941528,0.026601269841194153,-0.005509648472070694,0.021292049437761307,1.122705340385437,-1.2104562520980835,0.1251065731048584,0.04222138971090317,0.03587377071380615,1.3354839086532593,1.5801464319229126,2.7262051105499268,1.8703221082687378,1.2849922180175781
5,Tue Apr 26 11:59:41 2022,4399,4399,4399,4399,4408,3.071320056915283,2.38726806640625,3.9500732421875,3.99993896484375,2.999999761581421,3.071320056915283,2.0,2.0,2.0,1.5,1.6957134008407593,-1.0311285257339478,0.009712752886116505,0.004902801476418972,0.019703064113855362,1.775785207748413,1.135715365409851,0.663968026638031,1.2529537677764893,1.2634648084640503,1.0,24.0,986.0,1048.0,1152.0,1.7295560836791992,1.7610045671463013,3.012193202972412,1.5962281227111816,1.187211513519287,0,0,0,0,0,0.954909086227417,-0.9079110622406006,0.014628344215452671,0.003912994638085365,0.01559447031468153,1.1268649101257324,-1.2253384590148926,0.03972266614437103,0.016685357317328453,0.026396645233035088,1.3472415208816528,1.61637544631958,2.7922403812408447,1.810788631439209,1.2895190715789795
6,Tue Apr 26 11:59:43 2022,4401,4401,4401,4401,4410,1.124822974205017,1.10662841796875,0.45648193359375,0.40032958984375,0.7615383267402649,1.124822974205017,1.10662841796875,0.27313232421875,0.21124267578125,0.40024423599243164,1.037396788597107,-1.0347777605056763,0.014761200174689293,0.005358543246984482,9.83017889666371e-05,1.0375616550445557,1.0349425077438354,0.05481938272714615,0.04921528324484825,0.07915978878736496,1.0,0,604.0,926.0,1248.0,1.0841022729873657,1.069265604019165,4.9824042320251465,4.292216777801514,5.056156158447266,0,0,0,0,0,0.9998410940170288,-0.9998407959938049,0.269269734621048,0.10887965559959412,0.0012418146943673491,1.0004745721817017,-1.0004795789718628,0.6829378604888916,0.31503164768218994,0.048271067440509796,1.0012729167938232,1.001279592514038,3.8981478214263916,4.7496490478515625,4.919435977935791
7,Tue Apr 26 11:59:46 2022,4404,4404,4404,4404,4413,1.1262788772583008,1.10650634765625,0.3280029296875,0.51190185546875,1.6933482885360718,1.1262788772583008,1.10650634765625,0.16558837890625,0.27392578125,0.8996915817260742,1.0365046262741089,-1.0346888303756714,0.01500095333904028,0.0055542755872011185,1.3113975910528097e-05,1.0366162061691284,1.0348013639450073,0.04325432702898979,0.04345836490392685,0.09159934520721436,1.0,0,666.0,927.0,1476.0,1.0864955186843872,1.06929349899292,3.828249931335449,6.303177356719971,9.822031021118164,0,0,0,0,0,0.9998923540115356,-0.9998912215232849,0.34680816531181335,0.12780682742595673,0.00014316670421976596,1.0003268718719482,-1.000325083732605,1.0538638830184937,0.3174980878829956,0.14417630434036255,1.000874638557434,1.000866413116455,4.258791923522949,9.56307601928711,16.393844604492188
8,Tue Apr 26 11:59:48 2022,4406,4406,4406,4406,4415,1.960494041442871,1.58367919921875,1.8453369140625,2.48724365234375,2.999999761581421,1.960494041442871,1.58367919921875,0.9261474609375,1.26837158203125,1.5,1.1389799118041992,-1.0348995923995972,0.014868850819766521,0.00557632464915514,0.002617737278342247,1.1534148454666138,1.049168586730957,0.29579803347587585,0.3769811987876892,0.7815349698066711,1.0,0,582.0,900.0,1017.0,1.6997301578521729,1.5094611644744873,3.1310129165649414,3.364548683166504,1.9192999601364136,0,0,0,0,0,0.9874850511550903,-0.9863997101783752,0.05026690289378166,0.014792049303650856,0.003349481848999858,1.038862943649292,-1.040112018585205,0.08143095672130585,-0.007377835921943188,0.01929917186498642,1.1077568531036377,1.108060359954834,2.8555939197540283,2.9937326908111572,2.2578511238098145
9,Tue Apr 26 11:59:51 2022,4409,4409,4409,4409,4418,2.168731927871704,1.6683349609375,1.8387451171875,2.69024658203125,2.999999761581421,2.168731927871704,1.6683349609375,0.92498779296875,1.356201171875,1.5,1.1542325019836426,-1.034360408782959,0.014149551279842854,0.004548072814941406,0.0024784100241959095,1.1721826791763306,1.0511850118637085,0.2964829206466675,0.38290753960609436,0.8074167370796204,1.0,0,574.0,857.0,934.0,1.8501654863357544,1.587099313735962,3.119868755340576,3.5418503284454346,1.8577766418457031,0,0,0,0,0,0.984686553478241,-0.9839946031570435,0.04772467538714409,0.011877731420099735,0.0030695549212396145,1.047800898551941,-1.0467262268066406,0.09906432032585144,0.08994942903518677,0.025180894881486893,1.1337401866912842,1.1257323026657104,2.690335273742676,2.946848154067993,2.1901967525482178
10,Tue Apr 26 11:59:53 2022,4411,4411,4411,4411,4420,2.466386318206787,1.85601806640625,2.13885498046875,2.92364501953125,2.999999761581421,2.466386318206787,1.85601806640625,1.12640380859375,1.7772216796875,1.5,1.1777302026748657,-1.035692572593689,0.012681160122156143,0.0033212280832231045,-0.003867912571877241,1.2046838998794556,1.0648788213729858,0.36112505197525024,0.432303786277771,0.8599269390106201,1.0,0,800.0,922.0,1144.0,2.047330617904663,1.7429382801055908,3.1191515922546387,4.111048221588135,1.7443342208862305,0,0,0,0,0,0.9776259064674377,-0.9725919365882874,0.03511570394039154,0.00768262566998601,-0.004497955087572336,1.0663385391235352,-1.0781759023666382,0.18719898164272308,-0.21481621265411377,0.023450706154108047,1.182796835899353,1.2119311094284058,2.889012098312378,3.038398504257202,2.0974137783050537
