Serial No,time_stamp,AccXYZ_Measurement_Index,AccX_Measurement_Index,AccY_Measurement_Index,AccZ_Measurement_Index,AE_Measurement_Index,AccXYZ_range,AccX_range,AccY_range,AccZ_range,AE_range,AccXYZ_Absolute Peak,AccX_Absolute Peak,AccY_Absolute Peak,AccZ_Absolute Peak,AE_Absolute Peak,AccXYZ_Mean,AccX_Mean,AccY_Mean,AccZ_Mean,AE_Mean,AccXYZ_RMS,AccX_RMS,AccY_RMS,AccZ_RMS,AE_RMS,AccXYZ_Zero Crossing Rate,AccX_Zero Crossing Rate,AccY_Zero Crossing Rate,AccZ_Zero Crossing Rate,AE_Zero Crossing Rate,AccXYZ_Crest Factor,AccX_Crest Factor,AccY_Crest Factor,AccZ_Crest Factor,AE_Crest Factor,AccXYZ_K(t),AccX_K(t),AccY_K(t),AccZ_K(t),AE_K(t),AccXYZ_SNR,AccX_SNR,AccY_SNR,AccZ_SNR,AE_SNR,AccXYZ_Skewness,AccX_Skewness,AccY_Skewness,AccZ_Skewness,AE_Skewness,AccXYZ_Kurtosis,AccX_Kurtosis,AccY_Kurtosis,AccZ_Kurtosis,AE_Kurtosis
1,Tue Apr 26 16:56:05 2022,4396,4396,4397,4397,4405,2.1023318767547607,2.37548828125,1.36602783203125,1.02813720703125,0.18283885717391968,2.1023318767547607,1.99993896484375,0.73077392578125,0.654052734375,0.09419810771942139,1.095506191253662,0.9605429172515869,-0.03841514512896538,0.11008632928133011,4.486747002374614e-06,1.221401572227478,1.1502541303634644,0.33341774344444275,0.23993268609046936,0.03312946856021881,1.0,241.0,1035.0,864.0,2479.0,1.7212454080581665,1.738693118095398,2.1917667388916016,2.7259843349456787,2.8433330059051514,0,0,0,0,0,0.8969255089759827,0.8350701928138733,-0.11521626263856888,0.45882171392440796,0.00013543070235755295,1.2641570568084717,1.3324875831604004,-0.4328478276729584,1.151150107383728,-0.1575927883386612,1.7232686281204224,1.9050509929656982,1.8160580396652222,2.5001516342163086,2.3810465335845947
2,Tue Apr 26 16:56:07 2022,4399,4399,4399,4399,4408,2.1332852840423584,2.42169189453125,1.43695068359375,1.060546875,0.182813823223114,2.1332852840423584,1.99993896484375,0.764404296875,0.63751220703125,0.09345996379852295,1.1015563011169434,0.9624476432800293,-0.037936631590127945,0.11028255522251129,3.605218807933852e-05,1.24773371219635,1.1773449182510376,0.3390513062477112,0.23609600961208344,0.0339500717818737,1.0,227.0,1037.0,751.0,2371.0,1.7097280025482178,1.698685646057129,2.2545387744903564,2.7002243995666504,2.7528650760650635,0,0,0,0,0,0.8828456401824951,0.8174729943275452,-0.1118905320763588,0.46710893511772156,0.0010619178647175431,1.2857632637023926,1.3554611206054688,-0.38550034165382385,1.157598853111267,-0.16785828769207,1.7638341188430786,1.9418295621871948,1.7889511585235596,2.639233112335205,2.3986215591430664
3,Tue Apr 26 16:56:10 2022,4401,4401,4401,4402,4410,2.106980323791504,2.4429931640625,1.355224609375,1.07177734375,0.17718905210494995,2.106980323791504,1.99993896484375,0.6798095703125,0.66241455078125,0.09378057718276978,1.112572193145752,0.9620524644851685,-0.03834148496389389,0.1102164089679718,-5.546149623114616e-05,1.254469633102417,1.182773470878601,0.3414909243583679,0.24109303951263428,0.033937446773052216,1.0,271.0,1037.0,878.0,2356.0,1.6795785427093506,1.6908892393112183,1.9907104969024658,2.7475473880767822,2.763336181640625,0,0,0,0,0,0.8868865370750427,0.8133869171142578,-0.11227673292160034,0.4571530222892761,-0.0016342271119356155,1.2764012813568115,1.3489058017730713,-0.37591201066970825,1.1109522581100464,-0.1867550015449524,1.743605136871338,1.9321156740188599,1.7459312677383423,2.46368670463562,2.3861470222473145
4,Tue Apr 26 16:56:12 2022,4404,4404,4404,4404,4413,2.1095752716064453,2.3740234375,1.3404541015625,1.01385498046875,0.17481547594070435,2.1095752716064453,1.99993896484375,0.6844482421875,0.609619140625,0.09031444787979126,1.1059696674346924,0.9615669846534729,-0.03725368529558182,0.1110449954867363,-3.6625970096793026e-05,1.254955768585205,1.182664394378662,0.3479561507701874,0.23483039438724518,0.03415611386299133,1.0,227.0,1037.0,765.0,2338.0,1.6809957027435303,1.6910451650619507,1.9670531749725342,2.5959975719451904,2.6441664695739746,0,0,0,0,0,0.8812817931175232,0.8130514621734619,-0.10706430673599243,0.47287318110466003,-0.0010723108425736427,1.286604642868042,1.3590830564498901,-0.34275370836257935,1.1446099281311035,-0.1927369236946106,1.763799786567688,1.948043942451477,1.7586777210235596,2.577526807785034,2.3842556476593018
5,Tue Apr 26 16:56:14 2022,4406,4406,4406,4406,4415,2.1153392791748047,2.49627685546875,1.3321533203125,0.99420166015625,0.18588781356811523,2.1153392791748047,1.99993896484375,0.6947021484375,0.6025390625,0.09701800346374512,1.1036978960037231,0.9638126492500305,-0.037947122007608414,0.11042042076587677,-1.2094962187347846e-07,1.2473174333572388,1.174109935760498,0.3494403660297394,0.23485414683818817,0.03420240804553032,1.0,163.0,1037.0,706.0,2348.0,1.695910930633545,1.7033660411834717,1.9880421161651611,2.5655882358551025,2.8365840911865234,0,0,0,0,0,0.8848572969436646,0.8208879232406616,-0.10859398543834686,0.4701659381389618,-3.5362895687285345e-06,1.2803854942321777,1.3506666421890259,-0.3792427182197571,1.1465526819229126,-0.18981187045574188,1.7483305931091309,1.9267812967300415,1.7566170692443848,2.610161066055298,2.3738856315612793
6,Tue Apr 26 16:56:17 2022,4409,4409,4409,4409,4418,1.079755187034607,1.0750732421875,0.21356201171875,0.147216796875,0.013408184051513672,1.079755187034607,1.0750732421875,0.1395263671875,0.147216796875,0.006941020488739014,0.9766393899917603,0.9687788486480713,-0.038165055215358734,0.11079803109169006,-2.2852411348139867e-05,0.9772129058837891,0.969377875328064,0.05293747037649155,0.11157972365617752,0.0018810161855071783,1.0,1.0,475.0,1.0,1852.0,1.1049333810806274,1.1090341806411743,2.6356825828552246,1.319386601448059,3.690037727355957,0,0,0,0,0,0.9994131326675415,0.9993820786476135,-0.7209459543228149,0.9929943084716797,-0.012148970738053322,1.0017621517181396,1.0018508434295654,-1.4249290227890015,1.0204938650131226,-0.06934854388237,1.0046957731246948,1.0049349069595337,2.38529634475708,1.0544955730438232,2.9322116374969482
7,Tue Apr 26 16:56:19 2022,4411,4411,4411,4411,4420,1.083073616027832,1.074462890625,0.208984375,0.15704345703125,0.013840019702911377,1.083073616027832,1.074462890625,0.14410400390625,0.15704345703125,0.00807112455368042,0.9766456484794617,0.9688998460769653,-0.03791099414229393,0.11089900881052017,3.635577013483271e-05,0.977112352848053,0.9693881273269653,0.050540219992399216,0.11171675473451614,0.001744863111525774,1.0,1.0,364.0,1.0,1889.0,1.108443260192871,1.1083928346633911,2.851273775100708,1.405728816986084,4.6256489753723145,0,0,0,0,0,0.9995223879814148,0.9994962811470032,-0.7501153349876404,0.9926801919937134,0.020835887640714645,1.0014307498931885,1.0015077590942383,-1.4041272401809692,1.021365761756897,0.15686839818954468,1.0038151741027832,1.0040210485458374,2.37453293800354,1.0567859411239624,3.197584629058838
8,Tue Apr 26 16:56:22 2022,4414,4414,4414,4414,4423,2.5333456993103027,3.64239501953125,2.7979736328125,1.4732666015625,0.362939715385437,2.5333456993103027,1.99993896484375,1.6522216796875,0.90081787109375,0.20469313859939575,1.4501314163208008,0.8302026391029358,-0.037979621440172195,0.11135406792163849,-0.00013249607582110912,1.561265468597412,1.2999190092086792,0.7820566296577454,0.3689829111099243,0.05838169530034065,1.0,737.0,990.0,1061.0,6064.0,1.622623324394226,1.5385104417800903,2.1126625537872314,2.4413537979125977,3.5061185359954834,0,0,0,0,0,0.9288179874420166,0.6386572122573853,-0.048563774675130844,0.30178651213645935,-0.0022694796789437532,1.1807639598846436,1.1890146732330322,-0.5340956449508667,0.9947075843811035,0.26438257098197937,1.4778780937194824,1.8350083827972412,1.8470007181167603,2.4678688049316406,2.6787898540496826
9,Tue Apr 26 16:56:24 2022,4416,4416,4416,4416,4425,2.0551631450653076,2.39520263671875,1.32843017578125,0.9454345703125,0.3771708011627197,2.0551631450653076,1.99993896484375,0.76446533203125,0.5758056640625,0.21073901653289795,1.0256084203720093,0.9664316773414612,-0.03853069245815277,0.11130626499652863,2.247674456157256e-05,1.1237910985946655,1.0881154537200928,0.20324154198169708,0.19391708076000214,0.04829561337828636,1.0,77.0,961.0,763.0,7960.0,1.8287768363952637,1.8379842042922974,3.7613635063171387,2.969339609146118,4.363523006439209,0,0,0,0,0,0.9126326441764832,0.8881701827049255,-0.1895807981491089,0.5739889740943909,0.00046539929462596774,1.2291440963745117,1.2592839002609253,-0.7854522466659546,1.3396013975143433,-0.3452027440071106,1.634864091873169,1.7208670377731323,3.2536063194274902,2.551283836364746,2.934413194656372
10,Tue Apr 26 16:56:27 2022,4419,4419,4419,4419,4428,2.032240390777588,2.49945068359375,1.20361328125,0.8746337890625,0.3392009139060974,2.032240390777588,1.99993896484375,0.63970947265625,0.534912109375,0.18364030122756958,1.0197539329528809,0.9681904315948486,-0.03882724791765213,0.11194366216659546,-5.6060991482809186e-05,1.1103708744049072,1.0769561529159546,0.19804109632968903,0.18403738737106323,0.046820320188999176,1.0,59.0,1036.0,767.0,8516.0,1.8302357196807861,1.8570291996002197,3.2301855087280273,2.9065403938293457,3.9222350120544434,0,0,0,0,0,0.9183903932571411,0.8990063667297363,-0.1960565149784088,0.6082658767700195,-0.0011973645305261016,1.2123137712478638,1.2382348775863647,-0.5464795827865601,1.321161150932312,-0.3181588649749756,1.5850944519042969,1.6585737466812134,2.6868655681610107,2.3918967247009277,2.806861639022827
11,Tue Apr 26 16:56:29 2022,4421,4421,4421,4421,4430,2.102020740509033,2.37847900390625,1.39984130859375,0.95745849609375,0.17178761959075928,2.102020740509033,1.99993896484375,0.789794921875,0.557373046875,0.09141254425048828,1.1108880043029785,0.9668501019477844,-0.03865650296211243,0.11090125888586044,-1.8898075722972862e-05,1.2100955247879028,1.123263955116272,0.38203322887420654,0.23803281784057617,0.031672462821006775,1.0,173.0,1037.0,715.0,2285.0,1.737070083618164,1.7804710865020752,2.0673460960388184,2.341580629348755,2.886183738708496,0,0,0,0,0,0.918016791343689,0.8607505559921265,-0.10118623077869415,0.46590742468833923,-0.0005966721219010651,1.2255492210388184,1.2956018447875977,-0.404790461063385,1.0361400842666626,-0.29069599509239197,1.6258436441421509,1.8148558139801025,1.7093005180358887,2.396751642227173,2.4373936653137207
12,Tue Apr 26 16:56:32 2022,4424,4424,4424,4424,4433,2.1171443462371826,2.48614501953125,1.37103271484375,1.02716064453125,0.17629516124725342,2.1171443462371826,1.99993896484375,0.685546875,0.6251220703125,0.09120619297027588,1.1074570417404175,0.9620307683944702,-0.03760780394077301,0.11048583686351776,-1.8243823433294892e-05,1.2568726539611816,1.1880613565444946,0.3358498811721802,0.23546364903450012,0.03352612629532814,1.0,231.0,1037.0,764.0,2249.0,1.684454083442688,1.6833633184432983,2.0412299633026123,2.654855966567993,2.7204513549804688,0,0,0,0,0,0.8811210989952087,0.8097484111785889,-0.11197801679372787,0.4692267179489136,-0.0005441673565655947,1.2878483533859253,1.3596454858779907,-0.38828045129776,1.1584787368774414,-0.16557595133781433,1.7687363624572754,1.9515031576156616,1.786027431488037,2.6164026260375977,2.3696346282958984
13,Tue Apr 26 16:56:34 2022,4426,4426,4426,4426,4435,2.0919313430786133,2.39654541015625,1.33685302734375,1.0107421875,0.18100744485855103,2.0919313430786133,1.99993896484375,0.67950439453125,0.6248779296875,0.09267604351043701,1.0933746099472046,0.9603632092475891,-0.03897659480571747,0.11053035408258438,-2.811299737004447e-06,1.2340316772460938,1.166077971458435,0.3251565098762512,0.2395196408033371,0.03288181871175766,1.0,210.0,1037.0,947.0,2333.0,1.6952006816864014,1.7150988578796387,2.0897762775421143,2.608879804611206,2.8184585571289062,0,0,0,0,0,0.8860182762145996,0.8235840201377869,-0.11987026035785675,0.4614667594432831,-8.549708581995219e-05,1.2790753841400146,1.3515832424163818,-0.3917340040206909,1.135107159614563,-0.16550344228744507,1.7523084878921509,1.9396328926086426,1.7902225255966187,2.458369255065918,2.3562896251678467
14,Tue Apr 26 16:56:37 2022,4429,4429,4429,4429,4438,2.1123692989349365,2.38763427734375,1.3349609375,0.9862060546875,0.1801956295967102,2.1123692989349365,1.99993896484375,0.679931640625,0.59490966796875,0.09216606616973877,1.0902361869812012,0.9620492458343506,-0.03784473240375519,0.11002864688634872,2.3803395379218273e-05,1.2373677492141724,1.1703630685806274,0.3282642662525177,0.23145432770252228,0.033183444291353226,1.0,149.0,1037.0,776.0,2351.0,1.707147479057312,1.7088192701339722,2.071293592453003,2.5703113079071045,2.7774713039398193,0,0,0,0,0,0.8810930848121643,0.8220092058181763,-0.11528739333152771,0.4753795266151428,0.0007173274643719196,1.2904363870620728,1.357444405555725,-0.336917906999588,1.1780673265457153,-0.15272773802280426,1.7786248922348022,1.95090913772583,1.799484133720398,2.601135015487671,2.370523691177368
15,Tue Apr 26 16:56:40 2022,4431,4431,4431,4431,4440,2.122314929962158,2.40362548828125,1.34600830078125,0.9296875,0.1876550316810608,2.122314929962158,1.99993896484375,0.7220458984375,0.5540771484375,0.0962103009223938,1.0887359380722046,0.9604049921035767,-0.03830451890826225,0.11068038642406464,-2.618590042402502e-05,1.2142307758331299,1.143214225769043,0.3337286710739136,0.23673015832901,0.0331728458404541,1.0,171.0,1037.0,789.0,2354.0,1.7478678226470947,1.749400019645691,2.16357159614563,2.340543031692505,2.900272846221924,0,0,0,0,0,0.8966466188430786,0.8400918841362,-0.11477743089199066,0.46753817796707153,-0.0007893775473348796,1.2704358100891113,1.336721658706665,-0.40592730045318604,1.1720885038375854,-0.15952427685260773,1.7425564527511597,1.9197094440460205,1.825107455253601,2.5683553218841553,2.3572795391082764
16,Tue Apr 26 16:56:42 2022,4434,4434,4434,4434,4443,2.1083261966705322,2.37347412109375,1.40521240234375,1.035888671875,0.18046456575393677,2.1083261966705322,1.99993896484375,0.71856689453125,0.636474609375,0.09460902214050293,1.1086292266845703,0.9628680348396301,-0.03804069384932518,0.10958988219499588,1.3278895494295284e-05,1.2581055164337158,1.18803071975708,0.34019264578819275,0.23596906661987305,0.0342804417014122,1.0,281.0,1037.0,851.0,2325.0,1.6757943630218506,1.6834068298339844,2.1122353076934814,2.697279930114746,2.759854316711426,0,0,0,0,0,0.8811894059181213,0.8104740381240845,-0.11182103306055069,0.4644247889518738,0.0003873606910929084,1.2860766649246216,1.3590754270553589,-0.36739107966423035,1.145930528640747,-0.14891402423381805,1.765151023864746,1.9520870447158813,1.762609839439392,2.5471134185791016,2.3356125354766846
17,Tue Apr 26 16:56:44 2022,4436,4436,4436,4436,4445,2.099674701690674,2.364501953125,1.47747802734375,0.99224853515625,0.17863690853118896,2.099674701690674,1.99993896484375,0.79498291015625,0.6192626953125,0.09286433458328247,1.1097277402877808,0.9610713720321655,-0.0378195196390152,0.11158004403114319,2.6707464712671936e-05,1.2521072626113892,1.1789659261703491,0.3458402156829834,0.24125951528549194,0.03446229547262192,1.0,261.0,1036.0,861.0,2299.0,1.676912784576416,1.69635009765625,2.2987000942230225,2.566790819168091,2.694664716720581,0,0,0,0,0,0.8862881064414978,0.8151816129684448,-0.10935547202825546,0.4624897241592407,0.0007749763899482787,1.278642177581787,1.3525787591934204,-0.3799052834510803,1.15247642993927,-0.1561904102563858,1.7485119104385376,1.9392197132110596,1.7535320520401,2.5363950729370117,2.3489670753479004
18,Tue Apr 26 16:56:47 2022,4439,4439,4439,4439,4448,2.1075327396392822,2.40545654296875,1.4169921875,1.04058837890625,0.1928359866142273,2.1075327396392822,1.99993896484375,0.7125244140625,0.6568603515625,0.10267496109008789,1.110706090927124,0.962901771068573,-0.039061546325683594,0.11015495657920837,-1.9371773305465467e-05,1.2478883266448975,1.1740896701812744,0.3484502136707306,0.2394181787967682,0.03455423563718796,1.0,267.0,1038.0,823.0,2243.0,1.6888792514801025,1.7033953666687012,2.0448384284973145,2.7435691356658936,2.971414566040039,0,0,0,0,0,0.8900684714317322,0.8201262354850769,-0.11210079491138458,0.4600943624973297,-0.0005606193444691598,1.2748326063156128,1.3474774360656738,-0.41049182415008545,1.14346182346344,-0.17003293335437775,1.7435232400894165,1.933388113975525,1.7496637105941772,2.541609048843384,2.3463239669799805
19,Tue Apr 26 16:56:49 2022,4441,4441,4441,4441,4450,2.1148674488067627,2.4053955078125,1.32696533203125,0.9658203125,0.1819514036178589,2.1148674488067627,1.99993896484375,0.71551513671875,0.5782470703125,0.09535431861877441,1.1069046258926392,0.9594541788101196,-0.03869495540857315,0.11109325289726257,7.660257324459963e-06,1.2236117124557495,1.146490454673767,0.34958499670028687,0.2461264729499817,0.034518491476774216,1.0,255.0,1037.0,845.0,2307.0,1.7283811569213867,1.7444008588790894,2.046755790710449,2.3493900299072266,2.7624127864837646,0,0,0,0,0,0.9046208262443542,0.8368619084358215,-0.11068826168775558,0.4513665437698364,0.00022191749303601682,1.2528176307678223,1.3224809169769287,-0.4598361849784851,1.1154899597167969,-0.17254582047462463,1.7004480361938477,1.8920379877090454,1.7710827589035034,2.471147298812866,2.352370500564575
20,Tue Apr 26 16:56:52 2022,4444,4444,4444,4444,4453,2.1051926612854004,2.47161865234375,1.365234375,1.03216552734375,0.1879209280014038,2.1051926612854004,1.99993896484375,0.6873779296875,0.62396240234375,0.09751242399215698,1.1171964406967163,0.9611821174621582,-0.038350485265254974,0.11078701168298721,-6.314185884548351e-05,1.2672127485275269,1.1944043636322021,0.3502749502658844,0.2377677857875824,0.03450506925582886,1.0,285.0,1037.0,826.0,2299.0,1.6612780094146729,1.6744236946105957,1.9623953104019165,2.624251127243042,2.8260319232940674,0,0,0,0,0,0.8816171288490295,0.8047376275062561,-0.10948680341243744,0.4659462571144104,-0.0018299298826605082,1.2839149236679077,1.3584694862365723,-0.36835819482803345,1.1429938077926636,-0.18424630165100098,1.7559276819229126,1.9471251964569092,1.7353979349136353,2.533524751663208,2.3633358478546143
21,Tue Apr 26 16:56:54 2022,4446,4446,4446,4446,4455,1.0700613260269165,1.064697265625,0.2445068359375,0.1478271484375,0.012710988521575928,1.0700613260269165,1.064697265625,0.17138671875,0.1478271484375,0.006778299808502197,0.9767787456512451,0.9690029621124268,-0.037919044494628906,0.11086845397949219,3.215817559976131e-05,0.9772506356239319,0.9694988131523132,0.05130833387374878,0.11161050945520401,0.0017588483169674873,1.0,1.0,400.0,1.0,1855.0,1.0949711799621582,1.0981935262680054,3.340329170227051,1.324491262435913,3.8538284301757812,0,0,0,0,0,0.9995171427726746,0.9994885325431824,-0.7390425801277161,0.993351399898529,0.018283654004335403,1.0014464855194092,1.001534342765808,-1.4245469570159912,1.019487977027893,0.08532949537038803,1.0038596391677856,1.004093050956726,2.4525115489959717,1.0518560409545898,2.8506717681884766
