,time_stamp,AccXYZ_range,AccX_range,AccY_range,AccZ_range,AE_range,AccXYZ_Absolute Peak,AccX_Absolute Peak,AccY_Absolute Peak,AccZ_Absolute Peak,AE_Absolute Peak,AccXYZ_Mean,AccX_Mean,AccY_Mean,AccZ_Mean,AE_Mean,AccXYZ_RMS,AccX_RMS,AccY_RMS,AccZ_RMS,AE_RMS,AccXYZ_Crest Factor,AccX_Crest Factor,AccY_Crest Factor,AccZ_Crest Factor,AE_Crest Factor,AccXYZ_SNR,AccX_SNR,AccY_SNR,AccZ_SNR,AE_SNR,AccXYZ_Skewness,AccX_Skewness,AccY_Skewness,AccZ_Skewness,AE_Skewness,AccXYZ_Kurtosis,AccX_Kurtosis,AccY_Kurtosis,AccZ_Kurtosis,AE_Kurtosis
0,Tue Apr 26 11:59:31 2022,2.185349464416504,1.9219970703125,2.31512451171875,2.76861572265625,2.999999761581421,2.185349464416504,1.9219970703125,1.32928466796875,1.440673828125,1.5,1.1793417930603027,-1.0351654291152954,0.016093673184514,0.0058793639764189,-0.0029232772067189,1.2050577402114868,1.0627081394195557,0.3640344440937042,0.4362277686595917,0.8487072587013245,1.813481092453003,1.8085840940475464,3.6515355110168457,3.30257248878479,1.7673938274383545,0.978659987449646,-0.9740825295448304,0.0442092046141624,0.0134777389466762,-0.0034443880431354,1.0622589588165283,-1.073280930519104,0.1795231848955154,0.0592444948852062,0.0604355297982692,1.169289469718933,1.1975191831588743,2.867820978164673,3.108670234680176,2.1021323204040527
1,Tue Apr 26 11:59:33 2022,3.1291768550872803,2.31396484375,3.7271728515625,3.99993896484375,2.999999761581421,3.1291768550872803,2.0,1.97833251953125,2.0,1.5,1.6849761009216309,-1.0333244800567627,0.0155723569914698,-0.0109061812981963,0.0274665765464305,1.7734860181808472,1.1329002380371094,0.59180748462677,1.229450821876526,1.2719230651855469,1.764421463012695,1.7653805017471311,3.342864990234375,1.626742601394653,1.1793166399002075,0.9500926733016968,-0.9121054410934448,0.0263132136315107,-0.0088707748800516,0.02159452624619,1.1422704458236694,-1.2175705432891846,0.0612344034016132,-0.0386205054819583,0.0357125028967857,1.391822099685669,1.5993359088897705,2.927412509918213,1.9285354614257808,1.278721809387207
2,Tue Apr 26 11:59:36 2022,3.0486409664154053,2.322265625,3.9678955078125,3.99993896484375,2.999999761581421,3.0486409664154053,2.0,2.0,2.0,1.5,1.7112220525741575,-1.0319268703460691,0.0127935409545898,-0.0052494429983198,0.0177322719246149,1.794583082199097,1.134875774383545,0.6353673934936523,1.2364833354949951,1.248753547668457,1.6988017559051514,1.7623074054718018,3.147785186767578,1.6174904108047483,1.2011977434158323,0.953548550605774,-0.9092862010002136,0.0201356578618288,-0.0042454618960618,0.0141999768093228,1.128600001335144,-1.2240474224090576,0.0384984575212001,0.0040355925448238,0.0268752090632915,1.3486802577972412,1.6138157844543457,2.80150842666626,1.899988412857056,1.3143068552017212
3,Tue Apr 26 11:59:38 2022,3.1846303939819336,2.45941162109375,3.49578857421875,3.99993896484375,2.999999761581421,3.1846303939819336,2.0,1.77203369140625,2.0,1.5,1.7017742395401,-1.0313401222229004,0.0158792119473218,-0.0068382644094526,0.0270209070295095,1.7791080474853516,1.1262577772140503,0.5969343781471252,1.2411434650421145,1.2690608501434326,1.7900152206420898,1.775792360305786,2.968556880950928,1.611417293548584,1.1819764375686646,0.9565322399139404,-0.9157229661941528,0.0266012698411941,-0.0055096484720706,0.0212920494377613,1.122705340385437,-1.2104562520980835,0.1251065731048584,0.0422213897109031,0.0358737707138061,1.3354839086532593,1.5801464319229126,2.7262051105499268,1.8703221082687376,1.284992218017578
4,Tue Apr 26 11:59:41 2022,3.071320056915283,2.38726806640625,3.9500732421875,3.99993896484375,2.999999761581421,3.071320056915283,2.0,2.0,2.0,1.5,1.6957134008407593,-1.0311285257339478,0.0097127528861165,0.0049028014764189,0.0197030641138553,1.775785207748413,1.135715365409851,0.663968026638031,1.2529537677764893,1.2634648084640503,1.7295560836791992,1.7610045671463013,3.012193202972412,1.5962281227111816,1.187211513519287,0.954909086227417,-0.9079110622406006,0.0146283442154526,0.0039129946380853,0.0155944703146815,1.1268649101257324,-1.2253384590148926,0.039722666144371,0.0166853573173284,0.026396645233035,1.3472415208816528,1.61637544631958,2.7922403812408447,1.810788631439209,1.2895190715789795
5,Tue Apr 26 11:59:43 2022,1.124822974205017,1.10662841796875,0.45648193359375,0.40032958984375,0.7615383267402649,1.124822974205017,1.10662841796875,0.27313232421875,0.21124267578125,0.4002442359924316,1.037396788597107,-1.0347777605056765,0.0147612001746892,0.0053585432469844,9.83017889666371e-05,1.0375616550445557,1.0349425077438354,0.0548193827271461,0.0492152832448482,0.0791597887873649,1.0841022729873655,1.069265604019165,4.9824042320251465,4.292216777801514,5.056156158447266,0.9998410940170288,-0.9998407959938048,0.269269734621048,0.1088796555995941,0.0012418146943673,1.0004745721817017,-1.0004795789718628,0.6829378604888916,0.3150316476821899,0.0482710674405097,1.0012729167938232,1.001279592514038,3.898147821426392,4.7496490478515625,4.919435977935791
6,Tue Apr 26 11:59:46 2022,1.1262788772583008,1.10650634765625,0.3280029296875,0.51190185546875,1.6933482885360718,1.1262788772583008,1.10650634765625,0.16558837890625,0.27392578125,0.8996915817260742,1.0365046262741089,-1.0346888303756714,0.0150009533390402,0.0055542755872011,1.3113975910528096e-05,1.0366162061691284,1.034801363945007,0.0432543270289897,0.0434583649039268,0.0915993452072143,1.0864955186843872,1.06929349899292,3.828249931335449,6.303177356719971,9.822031021118164,0.9998923540115356,-0.9998912215232848,0.3468081653118133,0.1278068274259567,0.0001431667042197,1.0003268718719482,-1.000325083732605,1.0538638830184937,0.3174980878829956,0.1441763043403625,1.000874638557434,1.000866413116455,4.258791923522949,9.56307601928711,16.393844604492188
7,Tue Apr 26 11:59:48 2022,1.960494041442871,1.58367919921875,1.8453369140625,2.48724365234375,2.999999761581421,1.960494041442871,1.58367919921875,0.9261474609375,1.26837158203125,1.5,1.1389799118041992,-1.0348995923995972,0.0148688508197665,0.0055763246491551,0.0026177372783422,1.1534148454666138,1.049168586730957,0.2957980334758758,0.3769811987876892,0.7815349698066711,1.6997301578521729,1.5094611644744873,3.1310129165649414,3.364548683166504,1.9192999601364136,0.9874850511550904,-0.9863997101783752,0.0502669028937816,0.0147920493036508,0.0033494818489998,1.038862943649292,-1.040112018585205,0.0814309567213058,-0.0073778359219431,0.0192991718649864,1.1077568531036377,1.108060359954834,2.8555939197540283,2.993732690811157,2.2578511238098145
8,Tue Apr 26 11:59:51 2022,2.168731927871704,1.6683349609375,1.8387451171875,2.69024658203125,2.999999761581421,2.168731927871704,1.6683349609375,0.92498779296875,1.356201171875,1.5,1.1542325019836426,-1.034360408782959,0.0141495512798428,0.0045480728149414,0.0024784100241959,1.1721826791763306,1.0511850118637085,0.2964829206466675,0.3829075396060943,0.8074167370796204,1.8501654863357544,1.587099313735962,3.119868755340576,3.5418503284454346,1.8577766418457031,0.984686553478241,-0.9839946031570436,0.047724675387144,0.0118777314200997,0.0030695549212396,1.047800898551941,-1.0467262268066406,0.0990643203258514,0.0899494290351867,0.0251808948814868,1.1337401866912842,1.1257323026657104,2.690335273742676,2.946848154067993,2.1901967525482178
9,Tue Apr 26 11:59:53 2022,2.466386318206787,1.85601806640625,2.13885498046875,2.92364501953125,2.999999761581421,2.466386318206787,1.85601806640625,1.12640380859375,1.7772216796875,1.5,1.1777302026748655,-1.035692572593689,0.0126811601221561,0.0033212280832231,-0.0038679125718772,1.2046838998794556,1.0648788213729858,0.3611250519752502,0.432303786277771,0.8599269390106201,2.047330617904663,1.7429382801055908,3.1191515922546387,4.111048221588135,1.7443342208862305,0.9776259064674376,-0.9725919365882874,0.0351157039403915,0.007682625669986,-0.0044979550875723,1.0663385391235352,-1.0781759023666382,0.187198981642723,-0.2148162126541137,0.023450706154108,1.182796835899353,1.2119311094284058,2.889012098312378,3.038398504257202,2.0974137783050537
